TX ID,Product,Quantity,Unit Price,Amount,Order Date,Ship Date,Customer Gender,Order Mode,Rating C,State,County,Days to Deliver,Weeknum,Gender Value
TX500001,Shorts,1,10.9, ,1-Jan-25,6-Jan-25,,App,4,California,Alpine County,5,1,Unknown
TX500002,Tank Tops,2,30.6,61.2,1-Jan-25,3-Jan-25,M,App,4,California,Contra Costa County,2,1,Male
TX500003,Sneakers,3,109.4,328.2,1-Jan-25,4-Jan-25,F,App,3,California,Fresno County,3,1,Female
TX500004,Workout Tops,7,37.7,263.9,1-Jan-25,2-Jan-25,F,App,4,California,Fresno County,1,1,Female
TX500005,Graphic Tees,3,56.7,170.1,1-Jan-25,4-Jan-25,F,App,5,California,Los Angeles County,3,1,Female
TX500006,Tank Tops,12,83.5,1002,1-Jan-25,4-Jan-25,M,Website,4,California,Los Angeles County,3,1,Male
TX500007,Sandals,1,55.3,55.3,1-Jan-25,2-Jan-25,F,App,4,California,Los Angeles County,1,1,Female
TX500008,Jeans,2,40.3,80.6,1-Jan-25,2-Jan-25,M,Target.com,5,California,Los Angeles County,1,1,Male
TX500009,Hoodies & Sweatshirts,11,35.7,392.7,1-Jan-25,2-Jan-25,F,App,4,California,Los Angeles County,1,1,Female
TX500010,T-Shirts,7,22.4,156.8,1-Jan-25,4-Jan-25,M,App,3,California,Los Angeles County,3,1,Male
TX500011,Sundresses,2,54.4,108.8,1-Jan-25,7-Jan-25,F,App,4,California,Los Angeles County,6,1,Female
TX500012,Sundresses,2,49,98,1-Jan-25,3-Jan-25,F,Target.com,3,California,Los Angeles County,2,1,Female
TX500013,Sandals,7,118.6,830.2,1-Jan-25,5-Jan-25,F,Website,4,California,Nevada County,4,1,Female
TX500014,Jeans,27,88.4,2386.8,1-Jan-25,8-Jan-25,M,Instagram,4,California,Placer County,7,1,Male
TX500015,Bikinis,1,66.7,66.7,1-Jan-25,4-Jan-25,M,App,4,California,Sacramento County,3,1,Male
TX500016,Sundresses,10,30.9,309,1-Jan-25,2-Jan-25,M,Website,5,California,Sacramento County,1,1,Male
TX500017,Graphic Tees,3,31.1,93.3,1-Jan-25,2-Jan-25,F,App,3,California,Sacramento County,1,1,Female
TX500018,Hoodies & Sweatshirts,3,36.6,109.8,1-Jan-25,4-Jan-25,F,App,4,California,San Bernardino County,3,1,Female
TX500019,Jeans,8,51.1,408.8,1-Jan-25,4-Jan-25,F,Target.com,1,California,San Bernardino County,3,1,Female
TX500020,Sundresses,1,25.2,25.2,1-Jan-25,2-Jan-25,F,Website,5,California,San Diego County,1,1,Female
TX500021,Sundresses,5,43.8,219,1-Jan-25,4-Jan-25,F,Target.com,4,California,San Diego County,3,1,Female
TX500022,T-Shirts,12,46.7,560.4,1-Jan-25,2-Jan-25,F,Website,3,California,San Diego County,1,1,Female
TX500023,Workout Tops,19,79.9,1518.1,1-Jan-25,2-Jan-25,M,App,5,California,San Diego County,1,1,Male
TX500024,Maxi Dresses,8,26.4,211.2,1-Jan-25,2-Jan-25,F,Instagram,4,California,San Diego County,1,1,Female
TX500025,Casual Dresses,8,88.8,710.4,1-Jan-25,2-Jan-25,F,Partner App,4,California,San Diego County,1,1,Female
TX500026,Shorts,10,17.5,175,1-Jan-25,2-Jan-25,F,Target.com,4,California,San Mateo County,1,1,Female
TX500027,Tank Tops,9,38.7,348.3,1-Jan-25,4-Jan-25,M,Website,4,California,Santa Barbara County,3,1,Male
TX500028,Tote Bags,4,57.2,228.8,1-Jan-25,3-Jan-25,,Website,5,California,Santa Clara County,2,1,Unknown
TX500029,Jeans,5,50.9,254.5,1-Jan-25,7-Jan-25,,Website,5,California,Tehama County,6,1,Unknown
TX500030,Baseball Caps,7,41,287,1-Jan-25,5-Jan-25,F,Website,4,California,Ventura County,4,1,Female
TX500031,T-Shirts,7,19.1,133.7,1-Jan-25,5-Jan-25,M,App,5,California,Calaveras County,4,1,Male
TX500032,Sneakers,5,166.1,830.5,1-Jan-25,4-Jan-25,M,App,4,California,Inyo County,3,1,Male
TX500033,Graphic Tees,3,29.9,89.7,1-Jan-25,2-Jan-25,M,Instagram,4,California,Los Angeles County,1,1,Male
TX500034,Bikinis,6,21.7,130.2,1-Jan-25,3-Jan-25,O,Target.com,5,California,Los Angeles County,2,1,Other
TX500035,Maxi Dresses,2,32,64,1-Jan-25,4-Jan-25,M,App,5,California,Los Angeles County,3,1,Male
TX500036,T-Shirts,2,15.8,31.6,1-Jan-25,2-Jan-25,M,Partner App,5,California,Los Angeles County,1,1,Male
TX500037,Sneakers,17,203.1,3452.7,1-Jan-25,5-Jan-25,M,Instagram,3,California,Los Angeles County,4,1,Male
TX500038,Hoodies & Sweatshirts,13,39,507,1-Jan-25,7-Jan-25,M,App,5,California,Los Angeles County,6,1,Male
TX500039,Bikinis,1,26.5,26.5,2-Jan-25,3-Jan-25,M,Target.com,4,California,Los Angeles County,1,1,Male
TX500040,Sandals,1,43.1,43.1,2-Jan-25,3-Jan-25,F,Target.com,3,California,Los Angeles County,1,1,Female
TX500041,Tank Tops,3,139,417,2-Jan-25,3-Jan-25,F,Partner App,5,California,Los Angeles County,1,1,Female
TX500042,Casual Dresses,1,80.7,80.7,2-Jan-25,3-Jan-25,M,App,5,California,Napa County,1,1,Male
TX500043,Graphic Tees,2,54.5,109,2-Jan-25,4-Jan-25,M,Website,3,California,Sacramento County,2,1,Male
TX500044,Jeans,3,68.6,205.8,2-Jan-25,2-Jan-25,F,App,3,California,San Diego County,0,1,Female
TX500045,Sneakers,4,135.9,543.6,2-Jan-25,3-Jan-25,F,Target.com,5,California,San Diego County,1,1,Female
TX500046,Sneakers,4,70.9,283.6,2-Jan-25,3-Jan-25,F,App,4,California,San Francisco,1,1,Female
TX500047,Tank Tops,5,63.7,318.5,2-Jan-25,3-Jan-25,M,Website,3,California,San Mateo County,1,1,Male
TX500048,Tote Bags,1,29.7,29.7,2-Jan-25,4-Jan-25,F,Website,4,California,Santa Clara County,2,1,Female
TX500049,Graphic Tees,3,26.8,80.4,2-Jan-25,11-Jan-25,F,Website,5,California,Santa Clara County,9,1,Female
TX500050,Baseball Caps,1,27,27,2-Jan-25,4-Jan-25,F,App,4,California,Sonoma County,2,1,Female
TX500051,T-Shirts,1,41.4,41.4,2-Jan-25,3-Jan-25,M,Website,5,California,Stanislaus County,1,1,Male
TX500052,T-Shirts,2,24.3,48.6,2-Jan-25,5-Jan-25,F,Website,4,California,Stanislaus County,3,1,Female
TX500053,T-Shirts,3,41.7,125.1,2-Jan-25,4-Jan-25,M,App,5,California,Tulare County,2,1,Male
TX500054,Shorts,2,18,36,2-Jan-25,3-Jan-25,F,App,5,California,Alameda County,1,1,Female
TX500055,Hoodies & Sweatshirts,3,91.3,273.9,2-Jan-25,5-Jan-25,M,Target.com,5,California,Los Angeles County,3,1,Male
TX500056,T-Shirts,8,19.3,154.4,2-Jan-25,3-Jan-25,M,App,4,California,Los Angeles County,1,1,Male
TX500057,Casual Dresses,13,63.2,821.6,2-Jan-25,3-Jan-25,F,App,4,California,Los Angeles County,1,1,Female
TX500058,Bikinis,9,33.3,299.7,3-Jan-25,11-Jan-25,F,App,5,California,Los Angeles County,8,1,Female
TX500059,Hoodies & Sweatshirts,2,64.2,128.4,3-Jan-25,4-Jan-25,M,App,5,California,Los Angeles County,1,1,Male
TX500060,Sundresses,3,23.1,69.3,3-Jan-25,6-Jan-25,F,Website,5,California,Los Angeles County,3,1,Female
TX500061,Crop Tops,2,71.1,142.2,3-Jan-25,5-Jan-25,F,Instagram,3,California,Los Angeles County,2,1,Female
TX500062,Shorts,2,11.5,23,3-Jan-25,4-Jan-25,F,App,4,California,Los Angeles County,1,1,Female
TX500063,Crop Tops,19,69.2,1314.8,3-Jan-25,8-Jan-25,F,App,4,California,Los Angeles County,5,1,Female
TX500064,Shorts,1,26.8,26.8,3-Jan-25,4-Jan-25,M,Target.com,2,California,Los Angeles County,1,1,Male
TX500065,Sunglasses,3,31.2,93.6,3-Jan-25,6-Jan-25,F,App,4,California,Los Angeles County,3,1,Female
TX500066,Casual Dresses,2,113.2,226.4,3-Jan-25,4-Jan-25,F,Partner App,4,California,Los Angeles County,1,1,Female
TX500067,Bikinis,8,21,168,3-Jan-25,4-Jan-25,M,App,4,California,Sacramento County,1,1,Male
TX500068,Tank Tops,2,89.1,178.2,3-Jan-25,4-Jan-25,F,Target.com,5,California,Sacramento County,1,1,Female
TX500069,Tank Tops,1,97.7,97.7,3-Jan-25,5-Jan-25,F,App,3,California,Sacramento County,2,1,Female
TX500070,Crop Tops,4,97.7,390.8,3-Jan-25,5-Jan-25,M,Instagram,4,California,Sacramento County,2,1,Male
TX500071,Pajama Sets,3,47.4,142.2,3-Jan-25,6-Jan-25,M,Instagram,5,California,San Diego County,3,1,Male
TX500072,Hoodies & Sweatshirts,1,89.6,89.6,3-Jan-25,6-Jan-25,F,App,5,California,San Diego County,3,1,Female
TX500073,Bikinis,18,28.4,511.2,3-Jan-25,6-Jan-25,F,Instagram,5,California,San Francisco,3,1,Female
TX500074,Shorts,2,17.9,35.8,3-Jan-25,4-Jan-25,F,App,5,California,San Mateo County,1,1,Female
TX500075,Sundresses,2,48.4,96.8,3-Jan-25,6-Jan-25,M,Website,4,California,San Mateo County,3,1,Male
TX500076,Casual Dresses,4,44.4,177.6,3-Jan-25,4-Jan-25,O,Website,3,California,Santa Clara County,1,1,Other
TX500077,Sneakers,8,103.7,829.6,3-Jan-25,4-Jan-25,F,App,3,California,Stanislaus County,1,1,Female
TX500078,Sandals,4,58.6,234.4,3-Jan-25,5-Jan-25,M,Instagram,4,California,Stanislaus County,2,1,Male
TX500079,Sundresses,4,54.8,219.2,3-Jan-25,7-Jan-25,F,Target.com,3,California,Ventura County,4,1,Female
TX500080,Casual Dresses,3,78.8,236.4,3-Jan-25,9-Jan-25,F,Partner App,3,California,Alameda County,6,1,Female
TX500081,Leggings,5,36.8,184,3-Jan-25,6-Jan-25,M,Partner App,3,California,Kern County,3,1,Male
TX500082,Jeans,6,50.6,303.6,3-Jan-25,5-Jan-25,F,Instagram,4,California,Los Angeles County,2,1,Female
TX500083,Crop Tops,3,36.8,110.4,3-Jan-25,3-Jan-25,M,Target.com,3,California,Los Angeles County,0,1,Male
TX500084,T-Shirts,9,41.8,376.2,4-Jan-25,10-Jan-25,F,Instagram,4,California,Los Angeles County,6,1,Female
TX500085,Leggings,1,77.3,77.3,4-Jan-25,5-Jan-25,M,Partner App,2,California,Los Angeles County,1,1,Male
TX500086,T-Shirts,4,19.8,79.2,4-Jan-25,10-Jan-25,M,Website,5,California,Los Angeles County,6,1,Male
TX500087,Tote Bags,4,15.5,62,4-Jan-25,5-Jan-25,F,Website,5,California,Los Angeles County,1,1,Female
TX500088,Casual Dresses,1,46.8,46.8,4-Jan-25,8-Jan-25,M,App,5,California,Los Angeles County,4,1,Male
TX500089,Sundresses,9,28.6,257.4,4-Jan-25,8-Jan-25,M,App,5,California,Los Angeles County,4,1,Male
TX500090,Sneakers,1,97.7,97.7,4-Jan-25,7-Jan-25,F,Website,4,California,Los Angeles County,3,1,Female
